,route,cnt_total
0,main,8090
1,main-archive,1096
2,main-rabota,1039
3,main-internet,880
4,main-bonus,865
5,main-news,760
6,main-tariffs,669
7,main-online,584
8,main-vklad,514
9,main-archive-rabota,167
10,main-rabota-archive,167
11,main-bonus-archive,139
12,main-rabota-bonus,137
13,main-news-rabota,134
14,main-bonus-rabota,133
15,main-archive-internet,131
16,main-rabota-news,129
17,main-internet-rabota,128
18,main-archive-news,125
19,main-rabota-internet,123
20,main-internet-archive,123
21,main-archive-bonus,117
22,main-tariffs-internet,114
23,main-internet-bonus,114
24,main-news-archive,112
25,main-news-internet,108
26,main-archive-tariffs,103
27,main-internet-news,102
28,main-tariffs-archive,102
29,main-main,94
30,main-digital,92
31,main-archive-online,92
32,main-rabota-main,91
33,main-bonus-internet,89
34,main-archive-main,88
35,main-rabota-online,88
36,main-internet-tariffs,88
37,main-tariffs-bonus,87
38,main-bonus-news,85
39,main-news-bonus,85
40,main-tariffs-rabota,81
41,main-rabota-tariffs,77
42,main-internet-online,74
43,main-rabota-vklad,73
44,main-vklad-rabota,72
45,main-online-rabota,72
46,main-online-archive,69
47,main-bonus-tariffs,69
48,main-bonus-online,68
49,main-internet-main,68
50,main-archive-vklad,67
51,main-internet-vklad,65
52,main-tariffs-news,64
53,main-online-bonus,62
54,main-news-online,61
55,main-online-news,59
56,main-bonus-main,59
57,main-online-internet,58
58,main-vklad-archive,57
59,main-news-main,56
60,main-news-tariffs,55
61,main-vklad-news,52
62,main-tariffs-online,52
63,main-tariffs-main,52
64,main-news-vklad,51
65,main-vklad-internet,49
66,main-tariffs-vklad,48
67,main-bonus-vklad,48
68,main-online-main,46
69,main-online-tariffs,45
70,main-vklad-bonus,44
71,main-vklad-online,40
72,main-online-vklad,37
73,main-vklad-tariffs,35
74,main-archive-internet-bonus,27
75,main-archive-rabota-archive,26
76,main-vklad-main,25
77,main-news-rabota-archive,23
78,main-bonus-news-rabota,22
79,main-bonus-internet-rabota,22
80,main-bonus-rabota-bonus,22
81,main-archive-internet-archive,21
82,main-archive-news-internet,21
83,main-news-archive-rabota,21
84,main-rabota-archive-rabota,21
85,main-rabota-archive-bonus,21
86,main-bonus-archive-rabota,21
87,main-bonus-rabota-news,20
88,main-online-rabota-news,20
89,main-internet-bonus-archive,20
90,main-internet-rabota-archive,19
91,main-bonus-internet-archive,19
92,main-rabota-bonus-internet,19
93,main-internet-archive-tariffs,19
94,main-rabota-news-archive,19
95,main-rabota-bonus-archive,18
96,main-internet-archive-rabota,18
97,main-tariffs-rabota-internet,18
98,main-internet-rabota-internet,18
99,main-news-bonus-rabota,18
100,main-internet-archive-bonus,18
101,main-tariffs-archive-internet,18
102,main-archive-news-archive,17
103,main-rabota-archive-tariffs,17
104,main-rabota-internet-rabota,17
105,main-tariffs-internet-rabota,17
106,main-tariffs-internet-archive,17
107,main-archive-tariffs-archive,17
108,main-main-internet,17
109,main-archive-rabota-internet,17
110,main-archive-rabota-news,17
111,main-main-archive,17
112,main-news-digital,17
113,main-rabota-tariffs-archive,16
114,main-rabota-tariffs-rabota,16
115,main-internet-archive-main,16
116,main-internet-bonus-rabota,16
117,main-archive-digital,16
118,main-tariffs-bonus-rabota,16
119,main-tariffs-news-archive,16
120,main-internet-rabota-bonus,16
121,main-bonus-rabota-internet,16
122,main-internet-news-rabota,16
123,main-archive-bonus-rabota,16
124,main-news-archive-internet,16
125,main-internet-archive-internet,16
126,main-archive-rabota-bonus,16
127,main-archive-internet-main,16
128,main-rabota-archive-news,15
129,main-rabota-internet-news,15
130,main-bonus-vklad-rabota,15
